label,audio
shreya ,0_shreya.wav
shreya ,1_shreya.wav
shreya ,2_shreya.wav
shreya ,3_shreya.wav
shreya ,4_shreya.wav
shreya ,5_shreya.wav
shreya ,6_shreya.wav
shreya ,7_shreya.wav
shreya ,8_shreya.wav
shreya ,9_shreya.wav
shreya ,10_shreya.wav
shreya ,11_shreya.wav
shreya ,12_shreya.wav
shreya ,13_shreya.wav
shreya ,14_shreya.wav
shreya ,15_shreya.wav
shreya ,16_shreya.wav
shreya ,17_shreya.wav
shreya ,18_shreya.wav
shreya ,19_shreya.wav
shreya ,20_shreya.wav
shreya ,21_shreya.wav
sanjana,0_sanjana.wav
sanjana,1_sanjana.wav
sanjana,2_sanjana.wav
sanjana,3_sanjana.wav
sanjana,4_sanjana.wav
sanjana,5_sanjana.wav
sanjana,6_sanjana.wav
sanjana,7_sanjana.wav
sanjana,8_sanjana.wav
sanjana,9_sanjana.wav
sanjana,10_sanjana.wav
sanjana,11_sanjana.wav
sanjana,12_sanjana.wav
sanjana,13_sanjana.wav
sanjana,14_sanjana.wav
sanjana,15_sanjana.wav
sanjana,16_sanjana.wav
sanjana,17_sanjana.wav
sanjana,18_sanjana.wav
sanjana,19_sanjana.wav
sanjana,20_sanjana.wav
sanjana,21_sanjana.wav
sanjana,22_sanjana.wav
sanjana,23_sanjana.wav
sanjana,24_sanjana.wav
chirag ,0_chirag.wav
chirag ,1_chirag.wav
chirag ,2_chirag.wav
chirag ,3_chirag.wav
chirag ,4_chirag.wav
chirag ,5_chirag.wav
chirag ,6_chirag.wav
chirag ,7_chirag.wav
chirag ,8_chirag.wav
chirag ,9_chirag.wav
chirag ,10_chirag.wav
chirag ,11_chirag.wav
chirag ,12_chirag.wav
chirag ,13_chirag.wav
chirag ,14_chirag.wav
chirag ,15_chirag.wav
chirag ,16_chirag.wav
chirag ,17_chirag.wav
chirag ,18_chirag.wav
chirag ,19_chirag.wav
muskan ,1_muskan.wav
muskan ,2_muskan.wav
muskan ,3_muskan.wav
muskan ,4_muskan.wav
muskan ,5_muskan.wav
muskan ,6_muskan.wav
muskan ,7_muskan.wav
muskan ,8_muskan.wav
muskan ,9_muskan.wav
muskan ,10_muskan.wav
muskan ,11_muskan.wav
muskan ,12_muskan.wav
muskan ,13_muskan.wav
muskan ,14_muskan.wav
muskan ,15_muskan.wav
muskan ,16_muskan.wav
muskan ,17_muskan.wav
muskan ,18_muskan.wav
muskan ,19_muskan.wav
muskan ,20_muskan.wav
muskan ,21_muskan.wav
muskan ,22_muskan.wav
muskan ,23_muskan.wav
muskan ,24_muskan.wav
muskan ,25_muskan.wav
muskan ,26_muskan.wav
orijeet ,27_orijeet.wav
orijeet ,2_orijeet.wav
orijeet ,3_orijeet.wav
orijeet ,4_orijeet.wav
orijeet ,5_orijeet.wav
orijeet ,6_orijeet.wav
orijeet ,7_orijeet.wav
orijeet ,8_orijeet.wav
orijeet ,9_orijeet.wav
orijeet ,10_orijeet.wav
orijeet ,11_orijeet.wav
orijeet ,12_orijeet.wav
orijeet ,13_orijeet.wav
orijeet ,14_orijeet.wav
orijeet ,15_orijeet.wav
orijeet ,16_orijeet.wav
orijeet ,17_orijeet.wav
orijeet ,18_orijeet.wav
orijeet ,19_orijeet.wav
orijeet ,20_orijeet.wav
orijeet ,21_orijeet.wav
orijeet ,22_orijeet.wav
orijeet ,23_orijeet.wav
orijeet ,24_orijeet.wav
orijeet ,25_orijeet.wav
orijeet ,26_orijeet.wav
prerak ,0_prerak.wav
prerak ,1_prerak.wav
prerak ,2_prerak.wav
prerak ,3_prerak.wav
prerak ,4_prerak.wav
prerak ,5_prerak.wav
prerak ,6_prerak.wav
prerak ,7_prerak.wav
prerak ,8_prerak.wav
prerak ,9_prerak.wav
prerak ,10_prerak.wav
prerak ,11_prerak.wav
prerak ,12_prerak.wav
prerak ,13_prerak.wav
prerak ,14_prerak.wav
prerak ,15_prerak.wav
prerak ,16_prerak.wav
prerak ,17_prerak.wav
prerak ,18_prerak.wav
prerak ,19_prerak.wav
yash ,0_yash.wav
yash ,1_yash.wav
yash ,2_yash.wav
yash ,3_yash.wav
yash ,4_yash.wav
yash ,5_yash.wav
yash ,6_yash.wav
yash ,7_yash.wav
yash ,8_yash.wav
yash ,9_yash.wav
yash ,10_yash.wav
yash ,11_yash.wav
yash ,12_yash.wav
yash ,13_yash.wav
yash ,14_yash.wav
yash ,15_yash.wav
yash ,16_yash.wav
yash ,17_yash.wav
yash ,18_yash.wav
yash ,19_yash.wav
neeharika,0_neeharika.wav
neeharika,1_neeharika.wav
neeharika,2_neeharika.wav
neeharika,3_neeharika.wav
neeharika,4_neeharika.wav
neeharika,5_neeharika.wav
neeharika,6_neeharika.wav
neeharika,7_neeharika.wav
neeharika,8_neeharika.wav
neeharika,9_neeharika.wav
neeharika,10_neeharika.wav
neeharika,11_neeharika.wav
neeharika,12_neeharika.wav
neeharika,13_neeharika.wav
neeharika,14_neeharika.wav
neeharika,15_neeharika.wav
neeharika,16_neeharika.wav
neeharika,17_neeharika.wav
neeharika,18_neeharika.wav
neeharika,19_neeharika.wav
soham,0_soham.wav
soham,1_soham.wav
soham,2_soham.wav
soham,3_soham.wav
soham,4_soham.wav
soham,5_soham.wav
